"log.post";"log.lik";"log.prior";"r2"
-566.18;0.92;-3.75;-1584.56
52.5;0.01;2.88;7.31
-357.06;-2024.27;0.32;-11.29
50.89;2.93;0;23.43
-209.11;-2020.53;-1595.85;0.68
44.93;0.13;30.3;0.01
