"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-3898.19;123.01;-3173.43;102.69;-724.76;62.3;-0.09;0.05
-5818.55;512.9;-5271.52;558.76;-547.04;48.91;-0.4;0.19
-3416.33;445.94;-2704.52;467.93;-711.81;31.42;0.22;0.25
