"log.post";"log.lik";"log.prior";"r2"
-1392.81;0.65;-382.44;-3323.27
93.13;0;71.08;4.75
-1352;-1290.31;0.85;-23.2
6.72;94.09;0.01;31.61
-40.81;-907.87;-3346.46;0.47
91.54;65.41;34.04;0.01
