"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-1392.81;93.13;-1352;6.72;-40.81;91.54;0.65;0
-1290.31;94.09;-907.87;65.41;-382.44;71.08;0.85;0.01
-3346.46;34.04;-3323.27;4.75;-23.2;31.61;0.47;0.01
