"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-6604.47;20.66;-6529.53;17.45;-74.94;5.83;0.33;0
-6664.36;7.11;-6499.58;6.58;-164.78;3.4;0.16;0
