"log.post";"log.lik";"log.prior";"r2"
-322.29;0.82;-4.97;-295.78
19.9;0.01;3.48;58.32
-261.64;-2129.24;0.29;-341.39
5.79;4.14;0;69.39
-60.64;-2124.27;-637.16;0.88
23.45;1.02;61.34;0.02
