"log.post";"log.lik";"log.prior";"r2"
-650.72;0.87;-70.34;-1344.43
78.77;0.01;36.15;97.29
-270.36;-173.17;0.95;-461.83
31.05;35.18;0;136.53
-380.36;-102.84;-1806.26;0.52
82.52;12.46;100.52;0.04
