"log.post";"log.lik";"log.prior";"r2"
-2047.03;0.3;-18.26;-290.78
4.98;0;23.98;44.52
-2042.63;-2015.26;0.57;-201.48
0.32;26.42;0;45.19
-4.41;-1996.99;-492.25;0.94
4.69;3.87;55;0.01
