"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-1233.52;20.46;-677.25;28.76;-556.27;9.43;0.59;0.02
-2585.5;9.73;-2194.33;4.82;-391.16;7.66;0.32;0
-1579.18;129.3;-1009.27;73.64;-569.91;76.9;0.73;0.02
