0;1;2
0.0;2.0;0.0
0.025025025;1.9795055;0.3943566
0.05005005;1.9493713;0.77416384
0.075075075;1.8866774;1.1273255
0.1001001;1.7638863;1.4296701
0.12512513;1.5650214;1.6546048
0.15015015;1.2979715;1.7911916
0.17517518;0.98877853;1.8525599
0.2002002;0.6641972;1.8657937
0.22522523;0.3406213;1.8566198
0.25025025;0.024158765;1.8413272
0.2752753;-0.28434375;1.8256333
0.3003003;-0.5841209;1.8060219
0.3253253;-0.8704958;1.7715323
0.35035035;-1.1327348;1.7067385
0.3753754;-1.3554409;1.5972848
0.4004004;-1.5245756;1.4369624
0.4254254;-1.6350632;1.2315577
0.45045045;-1.6936833;0.99563926
0.4754755;-1.7149988;0.74509686
0.5005005;-1.7146761;0.49154925
0.5255255;-1.7048995;0.24106175
0.5505506;-1.6927999;-0.004360604
0.5755756;-1.6806031;-0.2445389
0.6006006;-1.6662372;-0.47910777
0.6256256;-1.6440347;-0.7059122
0.6506506;-1.6057729;-0.9199755
0.6756757;-1.5425518;-1.1135181
0.7007007;-1.4475982;-1.277567
0.7257257;-1.3189965;-1.4050231
0.7507508;-1.1606649;-1.4936291
0.7757758;-0.98072016;-1.5468981
0.8008008;-0.7883458;-1.5724951
0.8258258;-0.5911543;-1.5794495
0.8508508;-0.3940915;-1.5758281
0.8758759;-0.19962578;-1.5675541
0.9009009;-0.008566716;-1.5581045
0.9259259;0.17903651;-1.5486562
0.950951;0.36308342;-1.5383365
0.975976;0.54275733;-1.5244939
1.001001;0.71602863;-1.5030441
1.026026;0.87942606;-1.469038
1.051051;1.0282742;-1.4175897
1.076076;1.1575173;-1.345072
1.1011012;1.2630249;-1.2502147
1.1261262;1.3428515;-1.1345859
1.1511512;1.3978529;-1.0021129
1.1761762;1.4313427;-0.85789925
1.2012012;1.4480877;-0.7069548
1.2262262;1.4531505;-0.553295
1.2512512;1.4510332;-0.39963427
1.2762762;1.445217;-0.24749067
1.3013012;1.4380239;-0.09750588
1.3263264;1.4306457;0.050185703
1.3513514;1.4232483;0.19560775
1.3763764;1.4150691;0.33864686
1.4014014;1.4045281;0.4787979
1.4264264;1.3893678;0.61497194
1.4514514;1.3668735;0.745388
1.4764764;1.3342097;0.86763686
1.5015016;1.2888799;0.9788962
1.5265266;1.2292281;1.076408
1.5515516;1.154825;1.1580178
1.5765766;1.0666015;1.2226684
1.6016016;0.96663713;1.2706518
1.6266266;0.8577054;1.303501
1.6516516;0.74272436;1.3236327
1.6766766;0.62431175;1.3338686
1.7017016;0.50452715;1.3370026
1.7267268;0.38480455;1.3355082
1.7517518;0.2660111;1.3313539
1.7767768;0.14857736;1.3259645
1.8018018;0.03264808;1.3202206
1.8268268;-0.08177455;1.3144945
1.8518518;-0.19470116;1.3086932
1.8768768;-0.30604202;1.3022984
1.901902;-0.41550907;1.2944113
1.926927;-0.5225394;1.2838075
1.951952;-0.6262469;1.2690197
1.976977;-0.7254251;1.2484584
2.002002;-0.8185992;1.2205787
2.0270271;-0.90416855;1.1840734
2.052052;-0.98060066;1.1380808
2.0770772;-1.0466654;1.0823268
2.102102;-1.1016327;1.01719
2.1271272;-1.1454004;0.9436407
2.152152;-1.178501;0.86308503
2.1771772;-1.2019929;0.777136
2.2022023;-1.217302;0.6874194
2.2272274;-1.2260178;0.59539074
2.2522523;-1.2297167;0.5022409
2.2772775;-1.2298406;0.40885916
2.3023024;-1.2276164;0.3158573
2.3273275;-1.2240156;0.22359867
2.3523524;-1.2197514;0.13227166
2.3773775;-1.215276;0.0419393
2.4024024;-1.2108085;-0.047396824
2.4274275;-1.2063432;-0.13575035
2.4524524;-1.2016659;-0.22309731
2.4774776;-1.196384;-0.30934107
2.5025024;-1.1899183;-0.3942717
2.5275276;-1.1815549;-0.47754264
2.5525525;-1.170472;-0.5586523
2.5775776;-1.1557783;-0.6369426
2.6026025;-1.1365916;-0.71162236
2.6276276;-1.1121109;-0.78181416
2.6526525;-1.0816954;-0.84661984
2.6776776;-1.044947;-0.9052139
2.7027025;-1.0017517;-0.9569348
2.7277277;-0.9523151;-1.0013633
2.7527525;-0.89712524;-1.038372
2.7777777;-0.8368998;-1.0681453
2.8028028;-0.7725022;-1.091144
2.827828;-0.7048589;-1.1080458
2.8528528;-0.63486046;-1.1196795
2.877878;-0.56331563;-1.1269345
2.9029028;-0.49090812;-1.1306988
2.927928;-0.41817763;-1.1318053
2.9529529;-0.34552607;-1.1309923
2.977978;-0.27322984;-1.1288819
3.0030031;-0.20146035;-1.1259798
3.0280282;-0.13031024;-1.1226611
3.0530531;-0.059816312;-1.1191844
3.0780783;0.010019757;-1.1156958
3.1031032;0.07920476;-1.1122292
3.1281283;0.1477409;-1.1087226
3.1531532;0.21560249;-1.1050186
3.1781783;0.28272554;-1.1008708
3.2032032;0.34898865;-1.0959585
3.2282283;0.41420916;-1.0898864
3.2532532;0.47812626;-1.0822074
3.2782784;0.5404112;-1.0724356
3.3033032;0.6006589;-1.06007
3.3283284;0.65840954;-1.0446237
3.3533533;0.71316856;-1.0256578
3.3783784;0.7644343;-1.0028113
3.4034033;0.8117302;-0.97583294
3.4284284;0.85465246;-0.9446065
3.4534533;0.8928932;-0.90915984
3.4784784;0.9262774;-0.869668
3.5035033;0.9547696;-0.8264361
3.5285285;0.9784835;-0.77987075
3.5535533;0.9976613;-0.73045397
3.5785785;1.0126605;-0.67869323
3.6036036;1.0239134;-0.6251047
3.6286287;1.0319041;-0.5701697
3.6536536;1.0371358;-0.51432157
3.6786788;1.0401018;-0.45793018
3.7037036;1.0412652;-0.40129906
3.7287288;1.0410501;-0.34466437
3.7537537;1.0398309;-0.28820205
3.7787788;1.0379157;-0.23203252
3.803804;1.0355604;-0.17623524
3.828829;1.0329607;-0.12085164
3.853854;1.0302579;-0.06590114
3.878879;1.0275348;-0.011385161
3.903904;1.0248312;0.042699765
3.928929;1.0221273;0.09635836
3.953954;1.0193703;0.14958529
3.978979;1.0164514;0.20236242
4.004004;1.0132301;0.2546486
4.029029;1.0095253;0.30637804
4.0540543;1.0051256;0.35745564
4.079079;0.9997869;0.40774834
4.104104;0.9932475;0.45709074
4.129129;0.9852303;0.50528276
4.1541543;0.97545505;0.5520929
4.179179;0.9636522;0.59725964
4.204204;0.94957143;0.64050895
4.229229;0.9329995;0.6815585
4.2542543;0.9137685;0.7201339
4.279279;0.891772;0.7559846
4.304304;0.86696833;0.78889775
4.329329;0.8393852;0.8187122
4.3543544;0.80911887;0.8453287
4.3793793;0.77633023;0.8687146
4.4044046;0.74123085;0.88890654
4.4294295;0.70407337;0.9060094
4.454455;0.6651345;0.92018485
4.47948;0.6247031;0.931642
4.5045047;0.5830645;0.9406277
4.5295296;0.54049057;0.9474105
4.554555;0.49722907;0.95226943
4.57958;0.45350343;0.95548636
4.6046047;0.40950218;0.9573288
4.6296296;0.36538255;0.9580502
4.654655;0.32127097;0.95788354
4.67968;0.2772667;0.9570356
4.7047048;0.23344071;0.9556853
4.7297297;0.18984331;0.9539861
4.754755;0.14650568;0.95206183
4.77978;0.10344803;0.9500097
4.804805;0.060676154;0.9479016
4.8298297;0.01819128;0.9457803
4.854855;-0.024009997;0.9436704
4.87988;-0.06592884;0.9415689
4.904905;-0.107565865;0.939454
4.9299297;-0.1489153;0.93727607
4.954955;-0.18996426;0.9349756
4.97998;-0.23068677;0.9324683
5.005005;-0.2710468;0.92965275
5.03003;-0.3109931;0.9264123
5.055055;-0.35045964;0.9226167
5.08008;-0.38936117;0.91812354
5.105105;-0.4275984;0.9127833
5.13013;-0.46505496;0.90643924
5.155155;-0.50160056;0.898935
5.18018;-0.53708833;0.89012116
5.205205;-0.5713682;0.8798517
5.23023;-0.60428274;0.86800086
5.255255;-0.6356758;0.85445875
5.28028;-0.6653955;0.83914286
5.305305;-0.69330585;0.8219985
5.33033;-0.71928775;0.8030024
5.3553553;-0.7432467;0.7821641
5.38038;-0.7651146;0.75952756
5.4054055;-0.7848584;0.7351657
5.4304304;-0.8024727;0.7091807
5.455456;-0.8179905;0.68169725
5.4804807;-0.8314702;0.6528579
5.5055056;-0.8430008;0.6228169
5.5305305;-0.8526958;0.59173506
5.555556;-0.86068547;0.55977273
5.5805807;-0.86711246;0.5270864
5.6056056;-0.8721315;0.4938249
5.6306305;-0.8758994;0.46012557
5.655656;-0.8785714;0.42610994
5.6806808;-0.8802996;0.39188826
5.7057056;-0.8812283;0.3575525
5.7307305;-0.8814935;0.32318157
5.755756;-0.8812188;0.28883842
5.780781;-0.8805157;0.25457653
5.8058057;-0.87948406;0.22043245
5.8308306;-0.87820923;0.18643531
5.855856;-0.8767648;0.15260527
5.880881;-0.87521;0.11895494
5.9059057;-0.87359226;0.08549111
5.9309306;-0.8719452;0.052216616
5.955956;-0.87029314;0.01913053
5.980981;-0.8686488;-0.013767313
6.0060062;-0.86701125;-0.046479777
6.031031;-0.8653715;-0.07900625
6.0560565;-0.8637103;-0.111346416
6.0810814;-0.8619966;-0.14349425
6.1061063;-0.86019456;-0.17544144
6.131131;-0.858254;-0.20717372
6.1561565;-0.85612;-0.23867162
6.1811814;-0.85373026;-0.26990736
6.2062063;-0.85101354;-0.3008472
6.231231;-0.84789395;-0.33144954
6.2562566;-0.84429103;-0.36166522
6.2812815;-0.8401174;-0.39143607
6.3063064;-0.8352895;-0.42069665
6.3313313;-0.82971865;-0.44937494
6.3563566;-0.82331836;-0.47739327
6.3813815;-0.81600654;-0.504667
6.4064064;-0.80770534;-0.5311102
6.4314313;-0.7983523;-0.5566347
6.4564567;-0.7878798;-0.5811537
6.4814816;-0.77624315;-0.6045821
6.5065064;-0.7634086;-0.626842
6.5315313;-0.7493559;-0.64786285
6.5565567;-0.73408437;-0.6675842
6.5815816;-0.71760243;-0.68595815
6.6066065;-0.6999373;-0.70294964
6.6316314;-0.6811318;-0.71854025
6.6566567;-0.6612398;-0.7327264
6.6816816;-0.6403299;-0.745519
6.7067065;-0.61847526;-0.7569448
6.7317314;-0.59576094;-0.7670451
6.756757;-0.5722723;-0.77587235
6.7817817;-0.54810107;-0.7834903
6.8068066;-0.52333474;-0.7899729
6.8318315;-0.49806395;-0.7953976
6.856857;-0.47237176;-0.79985064
6.8818817;-0.44633916;-0.8034169
6.9069066;-0.42003947;-0.8061844
6.9319315;-0.3935407;-0.80824155
6.956957;-0.36690176;-0.8096713
6.9819818;-0.34017697;-0.8105555
7.007007;-0.31341192;-0.8109713
7.032032;-0.286646;-0.81099087
7.0570574;-0.25991085;-0.81068075
7.0820823;-0.2332342;-0.81010133
7.107107;-0.20663664;-0.8093068
7.132132;-0.18013419;-0.8083463
7.1571574;-0.15373826;-0.8072612
7.1821823;-0.12745829;-0.8060877
7.207207;-0.10129941;-0.80485606
7.232232;-0.07526401;-0.8035899
7.2572575;-0.049353007;-0.80230755
7.2822824;-0.023567153;-0.80102
7.3073072;0.0020947077;-0.7997371
7.332332;0.027633622;-0.79846007
7.3573575;0.05305077;-0.7971854
7.3823824;0.0783451;-0.79590595
7.4074073;0.103515744;-0.7946092
7.432432;0.12856011;-0.7932773
7.4574575;0.15347347;-0.7918898
7.4824824;0.17824768;-0.7904207
7.5075073;0.2028732;-0.78884095
7.532532;0.227337;-0.78711647
7.5575576;0.25162324;-0.78521067
7.5825825;0.27571103;-0.7830835
7.607608;0.29957893;-0.7806952
7.6326327;0.32319748;-0.7779967
7.657658;0.34653708;-0.77494276
7.682683;0.36956245;-0.7714852
7.707708;0.3922347;-0.7675762
7.732733;0.4145141;-0.7631659
7.757758;0.43635604;-0.7582068
7.782783;0.4577138;-0.75265235
7.807808;0.47853923;-0.74645966
7.832833;0.49878332;-0.73958844
