"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-5929.6;46.51;-5765.15;83.93;-164.45;73.59;0.41;0.01
-6213.42;41.74;-6072.76;26.09;-140.66;22.27;0.1;0.01
