"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-1983.36;59.13;-1379.38;35.2;-603.98;69.11;0.52;0.04
-4287.91;73.13;-3039.65;130.3;-1248.25;57.76;0.4;0.01
-3015.89;245.35;-2043.26;156.24;-972.63;127.2;0.65;0.02
