"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-322.29;19.9;-261.64;5.79;-60.64;23.45;0.82;0.01
-2129.24;4.14;-2124.27;1.02;-4.97;3.48;0.29;0
-637.16;61.34;-295.78;58.32;-341.39;69.39;0.88;0.02
