"t";"R";"G";"B"
0.4;1.23311446359177;0.824418204248595;0.0865733800521812
0.9;1.66634421130544;0.704556396968138;0.0730809307007696
1.4;2.29382784133106;0.688495758991881;0.0649985946726997
1.9;3.12279785648721;0.808490859532702;0.0639364648266144
2.4;4.01011612724595;1.18277927071656;0.073555811005522
2.9;4.41876779524025;2.06090017062336;0.104381250179188
3.4;3.61940154490095;3.41088503550735;0.183021292545731
3.9;2.20776857476281;4.05861066970292;0.344467991948648
4.4;1.3211568154416;3.44798290355324;0.556269441129652
4.9;0.964897479408038;2.43065508775175;0.697730719214558
5.4;0.884326767738303;1.60445421369325;0.706202399304099
5.9;0.965227780015525;1.06940286283767;0.624549267739323
6.4;1.18400802609014;0.754700623169053;0.517663580701633
6.9;1.56085760678856;0.585185759053042;0.424565168139887
7.4;2.13919590668311;0.518902951311227;0.360973145635673
7.9;2.96188620229492;0.552939251108152;0.333703247862108
8.4;3.99755633910518;0.745847660715401;0.354250146676034
8.9;4.9163931263108;1.28586143282293;0.457978204388504
9.4;4.80040685678406;2.41866175085684;0.743828375393126
9.9;3.30515670777882;3.34282452653061;1.36948132637106
10.4;1.99063965835642;2.70974947301601;2.14915082925237
10.9;1.44118714209108;1.55623454740233;2.45020412346889
11.4;1.32611534486447;0.82640677509531;2.21726052339009
11.9;1.45290878921489;0.472044488667992;1.8097968705624
12.4;1.77907617853382;0.308830416051755;1.44636429739916
12.9;2.32847968614207;0.239634301412155;1.19353182849778
13.4;3.15177473743377;0.22912169316513;1.06426703645912
13.9;4.27824631446477;0.283047615253654;1.07627422950158
14.4;5.57528951144493;0.466249701962462;1.29851063753509
14.9;6.389025696289;0.943586344266456;1.92458573032379
15.4;5.55802804819753;1.60059365595897;3.25568654003153
15.9;3.70442435286434;1.36154761847715;4.82638821318416
16.4;2.51453790998109;0.631118796000929;5.20495563900368
16.9;2.02400489241342;0.249979093686;4.52745486270795
17.4;1.92337927632155;0.109311646742459;3.62324233019978
17.9;2.07769785246518;0.0570962883133845;2.86021458014906
18.4;2.4562471962457;0.0363289632536658;2.31853560481261
18.9;3.07514962691938;0.0285298037570181;1.9943692602511
19.4;3.96046660939867;0.0282378357593626;1.88283382557307
19.9;5.09190752423059;0.035968311437733;2.019264521477
20.4;6.28018119017338;0.058015512104172;2.519279948781
20.9;6.97943598605137;0.103251744038097;3.58854333300042
21.4;6.44236743424185;0.143708238237276;5.2441403333034
21.9;4.84023212166639;0.108203509518406;6.6457195067364
22.4;3.33578856866872;0.0460155644845351;6.78191755627018
22.9;2.45555591411443;0.0158224275974366;5.90364150351705
23.4;2.07592537470817;0.00578253707564896;4.74280632414925
23.9;2.02090130598622;0.00250917310303387;3.70867639163734
24.4;2.20621362771026;0.00132949922738301;2.9238847534646
24.9;2.61506644392508;0.000865143207360259;2.39186396475945
