"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-1265.93;26.72;-716.52;34.16;-549.41;14.11;0.52;0.02
-2626.22;4.71;-2247.22;5.12;-378.99;2.99;0.3;0
-1502.73;111.91;-952.51;64.66;-550.22;60.15;0.72;0.02
