"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-4616.5;116.82;-2737.82;145.64;-1878.68;48.86;0.11;0.02
-4572.8;1.39;-3095.01;1.74;-1477.79;1.27;0.37;0
-4021.93;132.51;-2249.56;150.24;-1772.37;46.48;0.47;0.08
