"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-2048.31;13.98;-2042.57;0.16;-5.75;13.85;0.3;0
-2000.31;10.48;-1994.04;0.35;-6.27;10.26;0.57;0
-467.87;48.53;-289.64;48.13;-178.23;26.37;0.94;0.01
