"log.post";"log.lik";"log.prior";"r2"
-3623.3;0.43;-4.58;-969.99
11.95;0;7.88;86.7
-3618.18;-1365.75;0.66;-501.44
1.4;10.25;0;89.06
-5.12;-1361.16;-1471.43;0.81
10.72;3.01;106.94;0.02
