"log.post";"log.lik";"log.prior";"r2"
-591.02;0.88;-60.44;-1379.24
38.8;0;14.79;158.51
-268.78;-165.61;0.95;-417.64
9.45;16.37;0;151.19
-322.24;-105.17;-1796.87;0.53
41.06;14.73;94.08;0.05
