"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-2101.71;116.59;-1481.37;54.62;-620.33;107.47;0.48;0.05
-4229.75;25.62;-2945.62;43;-1284.12;19.01;0.39;0.01
-2942.02;236.72;-2032.81;147.78;-909.2;147.67;0.65;0.02
