"log.post";"log.lik";"log.prior";"r2"
-858.51;0.91;-503.02;-1310.19
73.99;0.02;58.02;93.85
-484.4;-1436.65;0.55;-185.24
95.98;66.64;0.03;42.9
-374.12;-933.63;-1495.44;0.59
101.1;42.82;55.54;0.01
