"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-4690.71;188.57;-2824.66;238.02;-1866.05;65.82;0.08;0.03
-4652.33;22.56;-3184.69;54.02;-1467.65;43.93;0.39;0.02
-3766.77;68.57;-2035.05;46.76;-1731.72;33.03;0.56;0.02
