"log.post";"log.lik";"log.prior";"r2"
-725.68;0.86;-94.94;-1563.21
98.73;0.01;191.48;161.18
-319.02;-363.82;0.84;-332.61
23.57;221.72;0.01;155.31
-406.66;-268.88;-1895.82;0.48
85.01;31.48;91.18;0.06
