"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-1354.11;18.58;-1345.75;1.02;-8.36;18.19;0.66;0
-1029.26;78.47;-741.35;83.01;-287.91;63.75;0.88;0.02
-3325.65;7.77;-3319.97;0.38;-5.68;7.55;0.46;0
