"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-6140.7;0.83;-6138.89;0.03;-1.8;0.8;0.39;0
-6808.13;1.07;-6806.37;0.05;-1.76;1.07;0.15;0
