"log.post.mean";"log.post.sd";"log.lik.mean";"log.lik.sd";"log.prior.mean";"log.prior.sd";"r2.mean";"r2.sd"
-904.55;24.61;-638.8;154.26;-265.75;135.51;0.87;0.03
-1590.97;90.99;-976.45;74.85;-614.53;82.99;0.63;0.04
-1353.25;59.07;-1077.74;78.95;-275.51;57.36;0.64;0.01
